,MentalHealth,DevType,YearlySalary
25833,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Engineering manager;Developer, embedded applications or devices;Project manager;Designer",160000
25839,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;System administrator",100000
25846,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Engineering manager;Database administrator;Developer, embedded applications or devices;Cloud infrastructure engineer;System administrator",110000
25853,Depression,"Developer, back-end;Developer, QA or test;Educator;DevOps specialist;Product manager",58000
25864,None of the above,"Developer, back-end;Other;Designer",165000
25896,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Designer",400000
25906,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end",95000
25909,Depression;Anxiety,"Developer, back-end",63000
25910,None of the above,"Developer, full-stack;Database administrator;Cloud infrastructure engineer;Designer",840000
25912,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",700000
25913,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Engineering manager;Cloud infrastructure engineer;Data or business analyst;Scientist",270000
25942,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Database administrator",45000
25957,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, back-end;DevOps specialist",750000
25969,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Developer, embedded applications or devices;Developer, game or graphics;System administrator",32760
25974,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Security professional",44000
25981,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",66000
25989,Depression;Anxiety,"Developer, desktop or enterprise applications",87000
26024,Prefer not to say,"Developer, back-end;DevOps specialist",60000
26027,Anxiety,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer;Security professional",85000
26033,None of the above,"Engineer, site reliability;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",127000
26043,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end;Database administrator",40000
26045,Prefer not to say,"Engineer, site reliability;Developer, back-end;Engineering manager;Cloud infrastructure engineer",85000
26046,None of the above,"Developer, full-stack;Developer, back-end;Developer, mobile;DevOps specialist",35000
26059,None of the above,"Developer, mobile",582000
26065,None of the above,"Developer, back-end",960000
26068,None of the above,"Developer, full-stack;Developer, game or graphics",100000
26075,Anxiety,"Developer, full-stack",145000
26095,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",33000
26104,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, mobile",85000
26141,None of the above,"Developer, full-stack",42000
26144,None of the above,"Developer, full-stack;DevOps specialist",850000
26145,None of the above,"Developer, full-stack;Developer, back-end",456000
26146,None of the above,"Developer, back-end",420000
26152,Anxiety,"Developer, full-stack;Developer, back-end;Developer, mobile;Engineering manager;Database administrator;Cloud infrastructure engineer",136000
26165,None of the above,"Developer, front-end",85000
26178,None of the above,Other,55000
26186,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",27600
26205,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",42000
26218,None of the above,"Engineer, data;Developer, full-stack;Developer, back-end",63000
26221,None of the above,"Developer, full-stack",18000
26232,None of the above,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer",70000
26233,None of the above,"Engineer, data;Developer, full-stack",38000
26236,None of the above,Other,95000
26238,None of the above,"Engineer, data;Developer, back-end;Cloud infrastructure engineer",58000
26246,None of the above,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager",80000
26247,None of the above,"Developer, full-stack;DevOps specialist",35000
26253,None of the above,"Developer, back-end",100000
26257,None of the above,"Developer, front-end;Developer, full-stack;Cloud infrastructure engineer",166850
26261,None of the above,"Developer, full-stack;Cloud infrastructure engineer",200000
26283,None of the above,"Developer, desktop or enterprise applications",74000
26284,Depression;Anxiety,"Developer, back-end",28000
26285,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer",720000
26288,Depression,"Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",130000
26291,None of the above,"Engineer, data",600000
26301,None of the above,"Developer, desktop or enterprise applications;Project manager;System administrator",35664
26311,None of the above,"Developer, full-stack",60000
26313,None of the above,"Developer, full-stack;Engineering manager;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);System administrator",420000
26316,None of the above,"Developer, full-stack",45000
26317,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Security professional",528000
26318,Depression,"Developer, full-stack;Developer, back-end;Developer, QA or test",72000
26321,None of the above,"Developer, back-end",142640
26333,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;DevOps specialist",33000
26342,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Project manager;Product manager",50000
26351,Prefer not to say,"Developer, embedded applications or devices",120000
26358,None of the above,"Developer, full-stack;Database administrator;DevOps specialist;Data or business analyst",120000
26365,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",70000
26389,None of the above,"Developer, game or graphics",38400
26395,None of the above,"Developer, full-stack",89000
26403,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Engineer, data;Developer, back-end",39000
26406,None of the above,"Engineer, site reliability;Developer, back-end;Educator;Engineering manager;DevOps specialist;Senior Executive (C-Suite, VP, etc.);System administrator",120000
26408,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",36000
26410,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",100000
26414,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",110000
26415,None of the above,"Developer, back-end",90000
26425,None of the above,"Developer, front-end",55000
26432,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",110000
26442,Depression;Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Designer",720000
26446,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Educator",177000
26461,Anxiety,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",165000
26473,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Educator;System administrator",30000
26485,None of the above,"Data scientist or machine learning specialist;Engineer, data;Data or business analyst",147000
26487,None of the above,"Engineer, site reliability;Developer, back-end;DevOps specialist",90000
26491,None of the above,"Developer, full-stack;Developer, back-end",230000
26493,None of the above,"Developer, front-end;Developer, full-stack",20304
26494,None of the above,Other,65000
26502,None of the above,"Developer, back-end",72000
26506,None of the above,"Developer, embedded applications or devices",90000
26510,None of the above,"Developer, mobile",78000
26524,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",225000
26526,Depression;Anxiety,"Developer, full-stack;Student;Developer, game or graphics",7800
26535,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",54000
26552,None of the above,"Engineer, site reliability;Developer, back-end;Database administrator;DevOps specialist;Project manager;System administrator;Security professional",44100
26554,None of the above,"Developer, back-end;DevOps specialist",75000
26562,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",105000
26565,None of the above,"Developer, full-stack;Developer, mobile",143000
26574,None of the above,"Engineer, data",72000
26576,None of the above,"Engineer, data;Developer, full-stack;Developer, back-end",178000
26580,None of the above,"Developer, full-stack;Developer, game or graphics",60000
26581,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Developer, game or graphics",72000
26613,Prefer not to say,"Developer, full-stack;DevOps specialist;System administrator;Security professional",120000
26624,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;DevOps specialist;Developer, embedded applications or devices;Data or business analyst;Designer;System administrator",110000
26626,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",51000
26627,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, game or graphics",288000
26632,None of the above,Academic researcher;Scientist,68424
26640,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",240000
26650,None of the above,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",325000
26652,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;System administrator",99000
26670,None of the above,"Engineer, data;Scientist",90000
26680,None of the above,"Developer, full-stack;Blockchain",2400000
26683,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;System administrator",74000
26686,None of the above,"Developer, full-stack",360000
26687,None of the above,Educator;Academic researcher;Scientist,70000
26694,None of the above,"Developer, front-end;Developer, mobile;Developer, game or graphics",2400000
26703,None of the above,"Developer, desktop or enterprise applications",120000
26704,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, embedded applications or devices",60000
26705,None of the above,"Engineer, data;Developer, full-stack;Developer, back-end",150000
26728,Depression;Anxiety,"Developer, QA or test",110000
26735,None of the above,"Developer, full-stack;Data or business analyst",400000
26746,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",888000
26766,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",90000
26768,None of the above,"Developer, back-end;Developer, QA or test;DevOps specialist;Cloud infrastructure engineer",61000
26773,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Cloud infrastructure engineer",530000
26780,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",840000
26790,"Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",576000
26792,None of the above,"Developer, back-end;DevOps specialist",75000
26794,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Other;System administrator",64000
26799,None of the above,"Developer, back-end",54000
26803,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Project manager;Product manager",560000
26806,None of the above,"Developer, full-stack",55000
26807,None of the above,"Developer, full-stack;System administrator",35000
26812,None of the above,"Developer, back-end;Project manager;Designer",205000
26825,None of the above,"Engineer, data",140000
26826,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",720000
26830,None of the above,"Developer, back-end",84400
26831,None of the above,"Developer, full-stack",150000
26832,None of the above,"Engineer, data",140000
26836,Prefer not to say,"Developer, front-end",150000
26838,Anxiety,"Developer, full-stack;Developer, back-end",180000
26840,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;System administrator",540000
26848,"Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",105000
26853,Depression,"Developer, full-stack;Developer, back-end",98500
26863,None of the above,"Developer, full-stack;Cloud infrastructure engineer",100000
26873,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end;Developer, mobile;Blockchain",200000
26879,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, site reliability;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Project manager;System administrator",240000
26889,None of the above,"Developer, desktop or enterprise applications",52000
26894,Depression,"Developer, full-stack",14000
26910,None of the above,"Developer, full-stack",300000
26916,None of the above,"Developer, full-stack",1320000
26918,None of the above,"Developer, full-stack",135000
26919,None of the above,"Developer, back-end;Developer, mobile",56000
26927,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;DevOps specialist;Developer, game or graphics",70000
26932,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",75000
26943,None of the above,"Developer, full-stack",5600
26952,None of the above,"Developer, embedded applications or devices",310000
26957,None of the above,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;DevOps specialist;Project manager;Product manager;System administrator",100000
26964,None of the above,"Developer, full-stack",115000
26975,None of the above,"Developer, back-end",70000
26983,None of the above,"Developer, front-end",50000
26987,None of the above,"Developer, full-stack;Developer, back-end;Project manager",40000
26990,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Developer, embedded applications or devices",75000
26993,"Or, in your own words:","Developer, back-end;Developer, desktop or enterprise applications",45000
27004,None of the above,"Developer, front-end;Engineer, data;Developer, desktop or enterprise applications;Developer, QA or test;Educator;Database administrator;Project manager;Designer",60000
27010,None of the above,"Developer, front-end;Developer, desktop or enterprise applications;Developer, mobile",120000
27011,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",190000
27012,Depression,"Developer, full-stack",69000
27014,None of the above,"Developer, full-stack;Cloud infrastructure engineer",70000
27016,None of the above,"Developer, front-end;Developer, back-end;Developer, mobile;Designer",30000
27028,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",120000
27036,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",70000
27037,None of the above,Academic researcher;Scientist,32400
27043,None of the above,"Engineer, data;Data or business analyst",50000
27045,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager",285000
27055,None of the above,"Developer, front-end;Developer, full-stack;Developer, mobile",552000
27061,None of the above,"Developer, back-end;DevOps specialist",70000
27069,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Scientist",75000
27079,Prefer not to say,Data scientist or machine learning specialist,100000
27100,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",127000
27112,None of the above,"Developer, front-end;Developer, QA or test",2542
27114,None of the above,"Developer, full-stack",140000
27119,Prefer not to say,"Developer, full-stack",38000
27121,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",210000
27124,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineering manager;Project manager;Senior Executive (C-Suite, VP, etc.)",200000
27128,None of the above,"Developer, back-end;Student;DevOps specialist;Cloud infrastructure engineer;System administrator",9600
27129,Anxiety,"Developer, embedded applications or devices",138000
27131,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",55000
27138,"Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.)",100000
27146,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;Database administrator;DevOps specialist;Cloud infrastructure engineer",37000
27147,None of the above,"Developer, back-end;Data or business analyst",30000
27150,None of the above,"Developer, full-stack;Developer, mobile;Data or business analyst;Designer;Senior Executive (C-Suite, VP, etc.)",110000
27156,None of the above,"Developer, front-end;Developer, full-stack;Engineering manager",972000
27161,Prefer not to say,"Developer, full-stack",180000
27175,None of the above,"Developer, full-stack;DevOps specialist",63000
27176,None of the above,"Developer, back-end;Database administrator",580000
27180,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data;Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Security professional",633000
27181,Depression,"Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist;Other;Project manager;System administrator",46800
27182,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",90000
27191,None of the above,"Developer, full-stack",65000
27200,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",170000
27209,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end",40000
27220,None of the above,"Engineer, site reliability;Cloud infrastructure engineer",2040000
27239,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end",120000
27244,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Educator;Database administrator;Project manager;Cloud infrastructure engineer;System administrator;Security professional",130000
27256,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Educator;Senior Executive (C-Suite, VP, etc.)",150000
27258,None of the above,"Developer, full-stack;Developer, back-end;Developer, mobile",552000
27260,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, desktop or enterprise applications;Educator;DevOps specialist;System administrator",230000
27261,None of the above,"Developer, back-end",63000
27279,"Depression;Anxiety;I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",480000
27289,None of the above,"Developer, full-stack;Developer, back-end",508800
27298,None of the above,"Engineer, site reliability;Developer, full-stack;Product manager;System administrator",2976000
27300,None of the above,"Developer, full-stack;Other;Senior Executive (C-Suite, VP, etc.)",250000
27302,None of the above,"Developer, full-stack",1500000
27306,None of the above,"Engineer, data;Engineering manager",2880
27308,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",55000
27313,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Developer, QA or test",35000
27327,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;System administrator;Security professional",33000
27328,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, desktop or enterprise applications;Developer, QA or test",26000
27329,None of the above,Data scientist or machine learning specialist;Academic researcher;Scientist,660000
27330,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Engineering manager",200000
27332,"Or, in your own words:",Other,90
27333,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Developer, embedded applications or devices",28800
27334,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Cloud infrastructure engineer",48000
27335,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, site reliability;Developer, back-end;Developer, QA or test;DevOps specialist;Cloud infrastructure engineer",139000
27339,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, QA or test",43000
27344,None of the above,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;DevOps specialist;Project manager;Cloud infrastructure engineer",225000
27349,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Product manager",70000
27351,None of the above,Other,175000
27352,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",98000
27363,None of the above,"Developer, full-stack",140000
27365,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test",66000
27401,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Developer, back-end;Database administrator;System administrator",180000
27407,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, QA or test;Database administrator;Product manager",30000
27410,None of the above,"Developer, back-end;Engineering manager",1117800
27411,None of the above,"Developer, full-stack",49500
27414,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Other;Project manager;Designer;Marketing or sales professional",24000
27416,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, desktop or enterprise applications;Developer, mobile",100800
27422,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist",154000
27425,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",280000
27426,None of the above,"Developer, full-stack;Developer, back-end;Student",4200
27428,Prefer not to say,"Developer, full-stack",96000
27435,None of the above,"Developer, back-end",250000
27436,None of the above,"Developer, full-stack",68000
27450,Anxiety,"Developer, full-stack",200000
27451,None of the above,"Developer, full-stack;Database administrator;Senior Executive (C-Suite, VP, etc.)",110000
27453,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data;Developer, embedded applications or devices",170000
27467,Depression,"Engineer, data",62400
27483,None of the above,"Developer, front-end;Developer, full-stack",120000
27490,Prefer not to say,"Engineer, site reliability;Developer, full-stack;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst;System administrator",25000
27495,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist;Developer, embedded applications or devices",145000
27501,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack",160000
27503,Depression,Engineering manager,120000
27504,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, embedded applications or devices",936000
27509,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",65954
27512,None of the above,"Developer, front-end;Developer, QA or test",522000
27531,None of the above,"Developer, full-stack;Developer, back-end;Developer, game or graphics",552000
27539,None of the above,"Developer, back-end",75000
27547,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices",70000
27562,None of the above,"Developer, full-stack",120750
27576,None of the above,"Developer, front-end",40000
27580,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;DevOps specialist",52000
27586,None of the above,"Developer, mobile",110000
27599,Prefer not to say,"Developer, full-stack",50000
27609,None of the above,"Developer, embedded applications or devices",88000
27612,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;DevOps specialist;Senior Executive (C-Suite, VP, etc.)",290000
27623,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end",140000
27626,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;DevOps specialist;Project manager;Data or business analyst;Product manager;System administrator",95000
27628,None of the above,"Developer, desktop or enterprise applications;Developer, mobile",75000
27633,None of the above,"Developer, front-end;Developer, full-stack",76000
27642,None of the above,"Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Product manager;Senior Executive (C-Suite, VP, etc.)",750000
27646,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",150000
27649,None of the above,"Engineer, data;Developer, desktop or enterprise applications;Academic researcher;Developer, embedded applications or devices;Data or business analyst",360000
27650,None of the above,"Developer, full-stack",140000
27655,None of the above,"Developer, mobile",300000
27659,None of the above,"Developer, desktop or enterprise applications;Developer, mobile",24000
27661,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",200000
27666,None of the above,"Developer, desktop or enterprise applications",1000000
27668,None of the above,"Developer, desktop or enterprise applications;Project manager;Designer",121000
27671,None of the above,"Developer, desktop or enterprise applications;Developer, game or graphics",36500
27672,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator;DevOps specialist",200000
27677,"Depression;Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",60000
27684,Prefer not to say,Other,3000000
27687,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",237000
27693,None of the above,"Developer, full-stack",160000
27694,Depression;Anxiety,"Developer, full-stack;Developer, desktop or enterprise applications;DevOps specialist;Developer, game or graphics",143000
27695,None of the above,"Developer, full-stack;Developer, back-end",250000
27697,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Data or business analyst;Designer",115000
27698,None of the above,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Data or business analyst",45000
27702,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",77000
27703,None of the above,"Developer, back-end",145000
27704,Depression;Anxiety,"Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices",1200000
27711,None of the above,"Developer, full-stack;Developer, back-end",2160000
27716,Prefer not to say,"Developer, full-stack",116000
27721,None of the above,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, QA or test;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator;Security professional",90000
27725,None of the above,"Engineer, data;Developer, back-end;DevOps specialist",132000
27727,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",DevOps specialist,247500
27728,None of the above,"Developer, full-stack;Database administrator;DevOps specialist;Cloud infrastructure engineer",150000
27733,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",130000
27738,Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end",300000
27739,None of the above,"Developer, full-stack",130000
27750,None of the above,"Developer, full-stack",100000
27751,None of the above,"Developer, embedded applications or devices",212226
27753,None of the above,"Developer, full-stack",155000
27756,None of the above,"Developer, mobile",150000
27762,None of the above,"Developer, full-stack",100000
27766,Depression;Anxiety,"Developer, back-end",80000
27772,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Project manager",4500
27778,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",180000
27781,None of the above,"Developer, full-stack",6060000
27783,None of the above,"Engineer, site reliability;Developer, full-stack;Database administrator;System administrator",110000
